horizon	split	method	metric	value
3	train	torch_tail	tail_count	28534
3	train	torch_tail	tail_mae	259.4056854
3	train	torch_tail	tail_rmse	512.2264656
3	train	torch_tail	tail_r2	0.764304527
3	train	naive_last_conductance	observed_count	556590
3	train	naive_last_conductance	mae	57.0857654
3	train	naive_last_conductance	rmse	178.9303168
3	train	naive_last_conductance	r2	0.963186429
3	train	naive_last_conductance	auc	0.997021559
3	train	naive_last_conductance	f1	0.918009986
3	train	naive_last_conductance	precision	0.917159552
3	train	naive_last_conductance	recall	0.918861998
3	train	naive_last_conductance	interval_coverage	nan
3	train	naive_last_conductance	interval_width	nan
3	train	naive_last_conductance	pinball_q0.1	nan
3	train	naive_last_conductance	pinball_q0.5	nan
3	train	naive_last_conductance	pinball_q0.9	nan
3	train	naive_last_conductance	pinball_q0.95	nan
3	train	naive_last_conductance	pinball_q0.99	nan
3	train	naive_last_conductance	tail_count	28014
3	train	naive_last_conductance	tail_mae	240.6968421
3	train	naive_last_conductance	tail_rmse	502.3668192
3	train	naive_last_conductance	tail_r2	0.763641029
3	valid	torch_tail	observed_count	97209
3	valid	torch_tail	mae	69.63560858
3	valid	torch_tail	rmse	207.7817883
3	valid	torch_tail	r2	0.94007291
3	valid	torch_tail	auc	0.997816638
3	valid	torch_tail	f1	0.873330461
3	valid	torch_tail	precision	0.789022966
3	valid	torch_tail	recall	0.977809937
3	valid	torch_tail	interval_coverage	0.783497413
3	valid	torch_tail	interval_width	327.7349337
3	valid	torch_tail	pinball_q0.1	22.62140131
3	valid	torch_tail	pinball_q0.5	34.81780429
3	valid	torch_tail	pinball_q0.9	14.91539173
3	valid	torch_tail	pinball_q0.95	9.30466895
3	valid	torch_tail	pinball_q0.99	3.053861656
3	valid	torch_tail	tail_count	2073
3	valid	torch_tail	tail_mae	476.8378644
3	valid	torch_tail	tail_rmse	829.9502364
3	valid	torch_tail	tail_r2	0.841382792
3	valid	naive_last_conductance	observed_count	95336
3	valid	naive_last_conductance	mae	40.00270096
3	valid	naive_last_conductance	rmse	149.1107296
3	valid	naive_last_conductance	r2	0.968382201
3	valid	naive_last_conductance	auc	0.99900083
3	valid	naive_last_conductance	f1	0.910372608
3	valid	naive_last_conductance	precision	0.909914444
3	valid	naive_last_conductance	recall	0.910831234
3	valid	naive_last_conductance	interval_coverage	nan
3	valid	naive_last_conductance	interval_width	nan
3	valid	naive_last_conductance	pinball_q0.1	nan
3	valid	naive_last_conductance	pinball_q0.5	nan
3	valid	naive_last_conductance	pinball_q0.9	nan
3	valid	naive_last_conductance	pinball_q0.95	nan
3	valid	naive_last_conductance	pinball_q0.99	nan
3	valid	naive_last_conductance	tail_count	1985
3	valid	naive_last_conductance	tail_mae	402.4117545
3	valid	naive_last_conductance	tail_rmse	725.151152
3	valid	naive_last_conductance	tail_r2	0.877063359
3	test	torch_tail	observed_count	179280
3	test	torch_tail	mae	77.7357576
3	test	torch_tail	rmse	217.0072004
3	test	torch_tail	r2	0.894861454
3	test	torch_tail	auc	0.996223667
3	test	torch_tail	f1	0.809618574
3	test	torch_tail	precision	0.710832848
3	test	torch_tail	recall	0.940292758
3	test	torch_tail	interval_coverage	0.722930611
3	test	torch_tail	interval_width	361.9396823
3	test	torch_tail	pinball_q0.1	19.99894515
3	test	torch_tail	pinball_q0.5	38.8678788
3	test	torch_tail	pinball_q0.9	19.63543623
3	test	torch_tail	pinball_q0.95	13.09958887
3	test	torch_tail	pinball_q0.99	5.108062869
3	test	torch_tail	tail_count	2596
3	test	torch_tail	tail_mae	708.1685159
3	test	torch_tail	tail_rmse	1277.128327
3	test	torch_tail	tail_r2	0.435401374
3	test	naive_last_conductance	observed_count	176489
3	test	naive_last_conductance	mae	55.16890571
3	test	naive_last_conductance	rmse	180.3449881
3	test	naive_last_conductance	r2	0.923299882
3	test	naive_last_conductance	auc	0.997246791
3	test	naive_last_conductance	f1	0.854526958
3	test	naive_last_conductance	precision	0.855745721
3	test	naive_last_conductance	recall	0.853311662
3	test	naive_last_conductance	interval_coverage	nan
3	test	naive_last_conductance	interval_width	nan
3	test	naive_last_conductance	pinball_q0.1	nan
3	test	naive_last_conductance	pinball_q0.5	nan
3	test	naive_last_conductance	pinball_q0.9	nan
3	test	naive_last_conductance	pinball_q0.95	nan
3	test	naive_last_conductance	pinball_q0.99	nan
3	test	naive_last_conductance	tail_count	2461
3	test	naive_last_conductance	tail_mae	603.5962347
3	test	naive_last_conductance	tail_rmse	995.4299733
3	test	naive_last_conductance	tail_r2	0.612677144
7	train	torch_tail	observed_count	569718
7	train	torch_tail	mae	92.91053724
7	train	torch_tail	rmse	250.4085599
7	train	torch_tail	r2	0.928040648
7	train	torch_tail	auc	0.994627572
